weight,quantity,unit,supplier,material_id,quality,grade,thickness_mm,width_mm,description_i18n,finish_i18n,composition,additional_info,coating,length_mm
7208,,KG,source1,5772a1025e64585f8deb44a3f56b59c7,2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
7208,,KG,source1,5772a1025e64585f8deb44a3f56b59c7,2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
9916,,KG,source1,5772a1025e64585f8deb44a3f56b59c7,2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
9916,,KG,source1,5772a1025e64585f8deb44a3f56b59c7,2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
9916,,KG,source1,5772a1025e64585f8deb44a3f56b59c7,2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
9916,,KG,source1,5772a1025e64585f8deb44a3f56b59c7,2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
7320,,KG,source1,5772a1025e64585f8deb44a3f56b59c7,2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
7320,,KG,source1,5772a1025e64585f8deb44a3f56b59c7,2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
7320,,KG,source1,5772a1025e64585f8deb44a3f56b59c7,2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
7320,,KG,source1,5772a1025e64585f8deb44a3f56b59c7,2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
8920,,KG,source1,5772a1025e64585f8deb44a3f56b59c7,2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
8920,,KG,source1,5772a1025e64585f8deb44a3f56b59c7,2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
8920,,KG,source1,5772a1025e64585f8deb44a3f56b59c7,2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
8920,,KG,source1,5772a1025e64585f8deb44a3f56b59c7,2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
4390,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
4390,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
4390,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
4390,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
4390,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
4430,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
4430,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
4430,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
4430,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
4430,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
4680,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
4680,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
4680,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
4680,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
4680,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
1330,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
1330,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
1330,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
1330,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
1330,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
3560,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
3560,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
3560,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
3560,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
3560,1.0,KG,source2,5d7a72be9a5b2d83184ceb36e4f8da33,,S350GD,3.5,291.0,"{'nl': 'Sabelvorming in het materiaal ', 'en': ' Sable formation in the material '}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",ZM310,
1320,,KG,source3,5fa9f36ebe7d1291588bcf774f48e3c8,,DRP,1.8,420,{'fr': 'DRP 1.8x420x121 YMAGINE H500 O'},{'fr': 'H500'},{},"{'additional': 'O', 'supplier_article': 13012123, 'supplier_id': 1811070}",YMAGINE,121
11780,,KG,source3,5fc4469582133a5946dba449d86441fb,,CR,0.7,1355,{'fr': 'CR 0.7x1355 CR3 A O'},{'fr': 'A'},{},"{'additional': 'O', 'supplier_article': 11011779, 'supplier_id': 2160789}",CR3,
13860,,KG,source2,60363dfbd697a395c1614f99158f5f5c,,DX51D,1.0,1250.0,{'de': nan},{'de': 'Ma-C'},{},"{'additional': 'AFP', 'article_id': None}",AZ150,
9120,,KG,source1,62abde7977bd44592346ae87ce251091,2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
9120,,KG,source1,62abde7977bd44592346ae87ce251091,2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
9120,,KG,source1,62abde7977bd44592346ae87ce251091,2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
9120,,KG,source1,62abde7977bd44592346ae87ce251091,2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
9120,,KG,source1,62abde7977bd44592346ae87ce251091,2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
5452,,KG,source1,62abde7977bd44592346ae87ce251091,2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
5452,,KG,source1,62abde7977bd44592346ae87ce251091,2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
5452,,KG,source1,62abde7977bd44592346ae87ce251091,2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
5452,,KG,source1,62abde7977bd44592346ae87ce251091,2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
5452,,KG,source1,62abde7977bd44592346ae87ce251091,2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
5664,,KG,source1,62abde7977bd44592346ae87ce251091,2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
5664,,KG,source1,62abde7977bd44592346ae87ce251091,2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
5664,,KG,source1,62abde7977bd44592346ae87ce251091,2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
5664,,KG,source1,62abde7977bd44592346ae87ce251091,2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
5664,,KG,source1,62abde7977bd44592346ae87ce251091,2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
8092,,KG,source1,62abde7977bd44592346ae87ce251091,2nd,C100S,2.28,1037.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
