weight,quantity,unit,supplier,material_id,quality,grade,thickness_mm,width_mm,description_i18n,finish_i18n,composition,additional_info,coating,length_mm
7019,,KG,source1,29741983e0e0daf84879e58306213e01,2nd,C100S,2.24,1074.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
7019,,KG,source1,29741983e0e0daf84879e58306213e01,2nd,C100S,2.24,1074.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.0, 'Ca': 0.0005, 'Cr': 0.183, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.428, 'Mo': 0.029, 'N': 0.004, 'Nb': 0.002, 'Ni': 0.038, 'P': 0.0094, 'Si': 0.236, 'Sn': 0.002, 'STA': 0, 'Ti': 0.00216, 'V': 0.004, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
12230,,KG,source3,2ba6a1d8c6a23cfc8cdad7cb23ea251c,,HDC,1.5,1290,{'fr': 'HDC 1.5x1290 34G G10/10 MB O'},{'fr': 'G10/10'},{},"{'additional': 'MB', 'supplier_article': 11016868, 'supplier_id': 2134770}",34G,
20520,,KG,source2,2f5ea65a60df2634ff7c817d2d7bdb26,,DX51D,1.0,1250.0,{'de': '17/20zu'},{'de': 'Ma-C'},{},"{'additional': 'AFP', 'article_id': None}",AZ150,
2591,37.0,KG,source2,2fad800adcfcc6102f65bfda29fbcebf,,DX51D,4.0,775.0,"{'en': 'second choice ,   size defects'}",{'de': 'Ma-C'},{},"{'additional': None, 'article_id': None}",Z140,2850.0
4853,,KG,source1,337be1224032e6d5bf031f3ebcb0fb71,2nd,C100S,2.28,1039.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.01, 'Ca': 0.0004, 'Cr': 0.17, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.412, 'Mo': 0.015, 'N': 0.0037, 'Nb': 0.002, 'Ni': 0.024, 'P': 0.0102, 'Si': 0.219, 'Sn': 0.003, 'STA': 0, 'Ti': 0.00232, 'V': 0.002, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
4853,,KG,source1,337be1224032e6d5bf031f3ebcb0fb71,2nd,C100S,2.28,1039.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.01, 'Ca': 0.0004, 'Cr': 0.17, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.412, 'Mo': 0.015, 'N': 0.0037, 'Nb': 0.002, 'Ni': 0.024, 'P': 0.0102, 'Si': 0.219, 'Sn': 0.003, 'STA': 0, 'Ti': 0.00232, 'V': 0.002, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
9639,,KG,source1,337be1224032e6d5bf031f3ebcb0fb71,2nd,C100S,2.28,1039.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.01, 'Ca': 0.0004, 'Cr': 0.17, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.412, 'Mo': 0.015, 'N': 0.0037, 'Nb': 0.002, 'Ni': 0.024, 'P': 0.0102, 'Si': 0.219, 'Sn': 0.003, 'STA': 0, 'Ti': 0.00232, 'V': 0.002, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
9639,,KG,source1,337be1224032e6d5bf031f3ebcb0fb71,2nd,C100S,2.28,1039.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.01, 'Ca': 0.0004, 'Cr': 0.17, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.412, 'Mo': 0.015, 'N': 0.0037, 'Nb': 0.002, 'Ni': 0.024, 'P': 0.0102, 'Si': 0.219, 'Sn': 0.003, 'STA': 0, 'Ti': 0.00232, 'V': 0.002, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
4714,,KG,source1,33b4266acdd32224d8d2bfcf8fb32deb,2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.01, 'Ca': 0.0004, 'Cr': 0.17, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.412, 'Mo': 0.015, 'N': 0.0037, 'Nb': 0.002, 'Ni': 0.024, 'P': 0.0102, 'Si': 0.219, 'Sn': 0.003, 'STA': 0, 'Ti': 0.00232, 'V': 0.002, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
4714,,KG,source1,33b4266acdd32224d8d2bfcf8fb32deb,2nd,C100S,2.28,1038.0,{'de': 'Sollmasse (Gewicht) unterschritten'},"{'de': 'ungebeizt, nicht geglüht'}","{'AG': 0.0, 'Al': 0.006, 'Ars': 0.002, 'B': 0.0002, 'C': 1.01, 'Ca': 0.0004, 'Cr': 0.17, 'S': 0.0011, 'Cu': 0.01, 'Mn': 0.412, 'Mo': 0.015, 'N': 0.0037, 'Nb': 0.002, 'Ni': 0.024, 'P': 0.0102, 'Si': 0.219, 'Sn': 0.003, 'STA': 0, 'Ti': 0.00232, 'V': 0.002, 'Zr': 0.002}","{'RP02': 0.0, 'RM': 0.0}",,
